serial,mac_address,mean_exec_time_us,std_dev_us
1,60:A8:AA:D0:EA:77,56.8,15.9
2,AE:4E:E5:7F:D4:29,24.0,11.4
3,F8:3F:16:13:45:B7,61.8,7.32
4,B4:16:7A:E8:0E:68,110,17.4
5,07:6E:73:1A:AD:E9,49.0,15.4
6,AD:94:E6:A7:D7:79,65.3,13.8
7,85:F2:14:ED:0C:38,65.0,15.1
8,13:64:19:E6:BB:FF,63.6,33.8
9,90:AE:4E:A0:88:42,60.2,24.9
10,CA:A3:6A:D5:CF:2C,48.5,19.2
11,07:6E:73:1A:AD:E9,70.9,55.0
12,94:E6:A7:D7:79:85,52.7,9.18
13,14:ED:0C:38:A0:44,48.7,8.32
14,00:76:7C:D0:2C:FA,63.2,26.9
15,24:5B:E0:DC:73:53,64.3,13.6
16,37:D9:BB:E9:DB:28,91.7,23.4
17,AF:74:38:43:15:24,61.8,33.1
