serial,password,iteration,hex_pe,mean_iter_us,stddev_iter_us,total_exec_us
1,TAposh24#92^!45%m1=+,1,0x8ae6fe948442d8,56.5,35.1,56.5
2,TAposh24#92^!45%m1=+,2,0xa7d61a86105160,75.3,45.1,150.6
3,TAposh24#92^!45%m1=+,3,0x32c9ce00367aca,81.6,36.3,244.8
4,TAposh24#92^!45%m1=+,5,0xdba5126ad6877,90.8,56.1,454
5,TAposh24#92^!45%m1=+,6,0x22f01d94a857a6,80.2,26.7,481.2
6,TAposh24#92^!45%m1=+,7,0x2f1ad3a73283ee,115,118,805
7,TAposh24#92^!45%m1=+,9,0x30a504d3505994,95.6,9.82,860.4
8,TAposh24#92^!45%m1=+,11,0x74dcda37506a78,82.7,13.6,909.7
9,TAposh24#92^!45%m1=+,12,0x8df17825e01630,85.3,254,1023.6
10,TAposh24#92^!45%m1=+,15,0x16d9048e95de4b,80.6,7.54,1209
11,TAposh24#92^!45%m1=+,16,0x13c9246e55de1a,80.2,7.11,1211
12,TAposh24#92^!45%m1=+,17,0x3dc3012e297d38,75.9,7.34,1290.3
13,TAposh24#92^!45%m1=+,18,0x868703ba3f20e8,74.2,16.2,1335.6
14,TAposh24#92^!45%m1=+,19,0x252af6b9733c8a,76.2,11,1447.8
15,TAposh24#92^!45%m1=+,20,0x3cf16151e3c292,96.5,61.2,1930
16,TAposh24#92^!45%m1=+,22,0x146203d5be8c73,111,137,2442
17,TAposh24#92^!45%m1=+,26,0x355e5ad9bea6fc,97.3,11.1,2529.8
18,TAposh24#92^!45%m1=+,27,0x3ca5f055f6ab9e,94.1,24.4,2540.7
19,TAposh24#92^!45%m1=+,29,0x336f8ec3cdcd90,88.1,49.2,2554.9
20,TAposh24#92^!45%m1=+,31,0x44deb294c0ff28,84.1,18.1,2607.1
